local;cod;quant;dicofre
Vila Nova de Cacela;150081601;33;081601
União das freguesias de Vilela, São Cosme e São Damião e Sá;111160164;32;160164
Cabaços e Fojo Lobal;111160756;32;160756
União das freguesias de Canedo, Vale e Vila Maior;11A010933;32;010933
Santo Estêvão;11B170331;32;170331
Algeriz;11B171203;32;171203
Tresminas;11B171312;32;171312
Rego;11C030517;32;030517
Penude;11D180517;32;180517
Arcos;11D181902;32;181902
União das freguesias de Dois Portos e Runa;16B111324;32;111324
União das freguesias de Águeda e Borralha;16D010121;32;010121
Valongo do Vouga;16D010119;32;010119
União das freguesias de Semide e Rio Vide;16E060906;32;060906
Carvalho;16E061301;32;061301
Dardavaz;16G182106;32;182106
Valhascos;16I141704;32;141704
Muxagata;16J090511;32;090511
Rio de Mel;16J091316;32;091316
Monchique;1500809;32;500809
São Brás de Alportel;1500812;32;500812
São Brás de Alportel;150081201;32;081201
Cunha;111160507;31;160507
Poiares;111160734;31;160734
Beça;11B170203;31;170203
Oliveira do Douro;11C180410;31;180410
Seroa;11C130916;31;130916
Armamar;11D1801;31;1D1801
Poiares;11D040406;31;040406
União das freguesias de Castrelos e Carrazedo;11E040251;31;040251
Vale da Porca;11E040533;31;040533
Vale de Salgueiro;11E040733;31;040733
Vau;16B101207;31;101207
Cadima;16E060203;31;060203
Cabril;16G180303;31;180303
Valadares;16G181617;31;181617
Silgueiros;16G182317;31;182317
Envendos;16I141305;31;141305
União de freguesias de Pousade e Albardo;16J090764;31;090764
Travancinha;16J091224;31;091224
Cótimos;16J091305;31;091305
Almoster;185141606;31;141606
Aljezur;1500803;31;500803
Refóios do Lima;111160737;30;160737
União das freguesias de Este (São Pedro e São Mamede);112030370;30;030370
Vilar e Viveiro;11B170221;30;170221
Santo António de Monforte;11B170330;30;170330
União das freguesias de Bustelo, Carneiro e Carvalho de Rei;11C130143;30;130143
Várzea, Aliviada e Folhada;11C130740;30;130740
Bouça;11E040708;30;040708
União das freguesias de Assares e Lodões;11E041020;30;041020
Ramalhal;16B111311;30;111311
União das freguesias de Espariz e Sinde;16E061618;30;061618
Aranhas;16H050704;30;050704
Bugalhos;16I140202;30;140202
Olalhas;16I141808;30;141808
Vale de Azares;16J090318;30;090318
Santo António da Charneca;170150407;30;150407
União das freguesias de Ramada e Caneças;170111610;30;111610
